date,SPY,XLF,MSFT,AAPL
20050217,-0.008085,-0.008887,-0.005429,-0.025741
20050218,0.001331,-0.010628,-0.006628,-0.011388
20050222,-0.014868,-0.01477,-0.009812,-0.017509
20050223,0.007167,0.009199,-0.001189,0.034471
20050224,0.006614,0.001249,0.006746,0.007934
20050225,0.009897,0.010217,-0.00473,0.000675
20050228,-0.006588,-0.00968,-0.003564,0.008203
20050301,0.004974,0.009774,0.00477,-0.008025
20050302,-0.000495,-0.003004,-0.000791,-0.008517
20050303,0.000413,-0.001674,-0.003563,-0.052832
20050304,0.012457,0.012743,0,0.024408
20050307,0.000489,0,0.011919,-0.001402
20050308,-0.003746,-0.001656,-0.002748,-0.05193
20050309,-0.011117,-0.012272,-0.003543,-0.029114
20050310,0.002232,0.005709,0.004741,0.012198
20050311,-0.007011,-0.008681,-0.01337,0.011047
20050314,0.00623,0.005389,0.000797,0.001242
20050315,-0.008255,-0.0067,-0.007965,0.015873
20050316,-0.00849,-0.010118,-0.01124,0.005371
20050317,0.002015,-0.002726,-0.003654,0.025983
20050318,-0.002957,-0.004962,-0.009373,0.016805
20050321,-0.003712,-0.008975,-0.004525,0.017225
20050322,-0.010161,-0.01846,-0.008678,-0.019908
20050323,0.000855,0.002129,0.00792,-0.006538
20050324,0.001197,-0.004957,0.004136,-0.001175
20050328,0.001451,0.007117,-0.003295,0.000706
20050329,-0.006649,-0.003534,-0.01157,-0.01834
20050330,0.014159,0.012411,0.010033,0.02515
20050331,-0.001862,-0.005604,0.000414,-0.026402
20050401,-0.004493,-0.013737,-0.002069,-0.018718
20050404,0.001703,0.007143,0.00456,0.004891
20050405,0.004761,0.002837,0.009905,0.019469
20050406,0.003469,0.006718,0.008173,0.010504
20050407,0.005396,0.003864,0.01743,0.029057
20050408,-0.010399,-0.009097,-0.006374,0.004132
20050411,0.000763,0.002119,0.001203,-0.04161
20050412,0.005166,0.013742,0.014017,0.017653
20050413,-0.011794,-0.014599,-0.011058,-0.037975
20050414,-0.013044,-0.011287,-0.007987,-0.092105
20050415,-0.013993,-0.010703,-0.015298,-0.051261
20050418,0.003066,0.008294,0.007768,0.007638
20050419,0.007948,0.001431,-0.000811,0.041269
20050420,-0.01395,-0.0125,-0.012586,-0.042599
20050421,0.01942,0.005787,0.039474,0.047029
20050422,-0.003793,-0.002517,-0.011867,-0.045186
20050425,0.006576,0.012617,0.0004,0.04169
20050426,-0.009714,-0.005696,-0.009204,-0.021363
20050427,0.003906,0.013963,0.009289,-0.006632
20050428,-0.012538,-0.010946,-0.021609,-0.011405
20050429,0.013573,0.015352,0.034765,0.014631
20050502,0.005616,0.002461,-0.002767,0.010261
20050503,0.001718,0.001052,0.005153,-0.006039
20050504,0.007719,0.019271,-0.005915,0.02596
20050505,-0.00034,-0.004469,0.000793,-0.012651
20050506,-0.00315,-0.007251,-0.000396,0.015267
20050509,0.006235,0.008696,-0.004362,-0.00725
20050510,-0.010355,-0.013103,-0.008363,-0.014877
20050511,0.005489,0.004542,0.000402,-0.02224
20050512,-0.011003,-0.009391,0.003613,-0.041561
20050513,-0.001984,-0.008778,0.012,0.018752
20050516,0.009333,0.017712,0.010672,0.022433
20050517,0.006678,0.006265,-0.001177,-0.005345
20050518,0.010291,0.011761,0.009427,0.013575
20050519,0.004209,0.001026,0.00856,0.047712
20050520,-0.001425,-0.001025,-0.006944,0
20050523,0.005541,0.001368,0.004274,0.058855
20050524,-0.002338,-0.003414,-0.003868,-0.001509
20050525,-0.000753,-0.003426,-0.001553,0.002015
20050526,0.00536,0.006531,0.00739,0.024133
20050527,0.001666,0.001708,0.006564,-0.004418
20050531,-0.006403,-0.001705,-0.010357,-0.019741
20050601,0.008537,0.007859,0.00155,0.013599
20050602,0.002158,-0.002714,-0.001935,-0.006452
20050603,-0.005051,-0.005097,-0.013959,-0.044955
20050606,-0.000916,0.002391,-0.002359,-0.008368
20050607,0.00075,-0.000681,0.005518,-0.036392
20050608,-0.001831,0.000682,-0.004312,0.010399
20050609,0.004754,0.003066,0.004331,0.019773
20050610,-0.002324,-0.003057,-0.003136,-0.048871
20050613,0.003161,0,-0.004719,0.002513
20050614,0.002322,0.002726,0.001976,0.002785
20050615,0.001903,0.002379,-0.003943,0.031389
20050616,0.00256,0.005085,-0.008709,0.022892
20050617,0.003687,0.005243,0,0.008689
20050620,0.00033,-0.002362,0.002796,-0.018272
20050621,0.000577,0.003721,0.001593,0.006647
20050622,0.000823,-0.001348,-0.003181,0.018225
20050623,-0.014066,-0.009112,0.009573,0.00882
20050624,-0.007342,-0.001703,-0.010668,-0.029056
20050627,0.001429,-0.000341,0.000399,-0.017479
20050628,0.008393,0.007509,0.000798,0.00566
20050629,-0.002663,0.004743,0.000798,-0.025194
20050630,-0.005424,-0.006406,-0.009964,0.012098
20050701,0.002937,0.001018,-0.005234,-0.008422
20050705,0.008031,0.008136,0.010927,0.040548
20050706,-0.008382,-0.007397,-0.011209,-0.015534
20050707,0.003934,0.002033,-0.002024,0.006419
20050708,0.011421,0.010142,0.01785,0.016476
20050711,0.00511,0.004351,0.007971,-0.003922
20050712,0.002624,0,0.012653,0.003675
20050713,0.00139,0.004332,0.001952,0.002876
20050714,0.003921,0.004977,0.012081,0.062582
20050715,-0.00057,0.002641,-0.006931,0.019632
20050718,-0.003989,-0.010537,-0.009306,-0.001444
20050719,0.005476,-0.000333,0.023875,0.040974
20050720,0.003414,0.003662,0.001147,0.010188
20050721,-0.005833,-0.005307,0.009546,-0.007793
20050722,0.006682,0.005335,-0.028744,0.016401
20050725,-0.002833,-0.00398,0.000389,-0.004318
20050726,0.001218,0.001332,-0.005839,-0.004109
20050727,0.003648,0.00133,0.007048,0.008251
20050728,0.006301,0.002989,0.001166,-0.004319
20050729,-0.006663,-0.00894,-0.005437,-0.026256
20050801,-0.000727,0,0.012105,0.002345
20050802,0.005985,0.00735,0.034336,0.010292
20050803,0.002653,0.001327,0.016412,0.000695
20050804,-0.008018,-0.006956,0.002569,-0.0118
20050805,-0.00679,-0.011341,0.016105,0.006556
20050808,-0.001872,-0.004049,-0.022695,-0.007909
20050809,0.006033,0.006436,0.008109,0.027433
20050810,-0.000486,-0.00101,-0.014625,-0.010041
20050811,0.003973,0.003706,0.011874,0.014292
20050812,-0.006138,-0.002686,-0.008068,0.047727
20050815,0.006176,0.004712,0.005915,0.034273
20050816,-0.013003,-0.0067,-0.014375,-0.029992
20050817,-0.000082,0.002361,0.007853,0.019459
20050818,-0.000082,-0.000673,-0.004824,-0.018028
20050819,0.002292,0.001683,-0.003729,-0.010151
20050822,0,0.002689,0.007111,0.000873
20050823,-0.001878,-0.006369,-0.001486,-0.002834
20050824,-0.008917,-0.011471,-0.002233,0.000656
20050825,0.003632,0.00512,0.008206,0.006336
20050826,-0.006826,-0.010526,-0.00222,-0.006947
20050829,0.007701,0.007893,0.006674,0.002186
20050830,-0.005259,-0.008853,0.001105,0.015925
20050831,0.012639,0.011336,0.007358,0.006871
20050901,-0.000734,0.002378,-0.006574,-0.013436
20050902,-0.001796,-0.000678,-0.006618,-0.000865
20050906,0.011695,0.012208,-0.00074,0.05582
20050907,0.001698,-0.002345,-0.005556,-0.002459
20050908,-0.003309,-0.005709,-0.008939,0.022597
20050909,0.008907,0.008781,-0.001127,0.030735
20050912,-0.002006,0.003013,0.001129,0.001754
20050913,-0.005549,-0.008344,-0.004885,-0.011284
20050914,-0.003639,-0.00101,-0.00642,-0.02381
20050915,-0.000487,0.000674,-0.00152,0.005241
20050916,0.007078,0.01422,-0.007613,0.02687
20050919,-0.00332,-0.009015,-0.002685,0.027924
20050920,-0.008449,-0.005391,-0.006154,0.010448
20050921,-0.00934,-0.016599,-0.013545,-0.020305
